filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
1.jpg,135389,"{}",4,0,"{""name"":""rect"",""x"":80,""y"":8,""width"":267,""height"":61}","{}"
1.jpg,135389,"{}",4,1,"{""name"":""rect"",""x"":647,""y"":446,""width"":112,""height"":53}","{}"
1.jpg,135389,"{}",4,2,"{""name"":""rect"",""x"":665,""y"":507,""width"":96,""height"":55}","{}"
1.jpg,135389,"{}",4,3,"{""name"":""rect"",""x"":885,""y"":489,""width"":204,""height"":40}","{}"
2.jpg,143805,"{}",4,0,"{""name"":""rect"",""x"":93,""y"":17,""width"":258,""height"":59}","{}"
2.jpg,143805,"{}",4,1,"{""name"":""rect"",""x"":640,""y"":436,""width"":137,""height"":57}","{}"
2.jpg,143805,"{}",4,2,"{""name"":""rect"",""x"":668,""y"":491,""width"":104,""height"":49}","{}"
2.jpg,143805,"{}",4,3,"{""name"":""rect"",""x"":890,""y"":490,""width"":217,""height"":36}","{}"
3.jpg,138584,"{}",4,0,"{""name"":""rect"",""x"":88,""y"":14,""width"":261,""height"":55}","{}"
3.jpg,138584,"{}",4,1,"{""name"":""rect"",""x"":677,""y"":453,""width"":111,""height"":51}","{}"
3.jpg,138584,"{}",4,2,"{""name"":""rect"",""x"":705,""y"":507,""width"":91,""height"":51}","{}"
3.jpg,138584,"{}",4,3,"{""name"":""rect"",""x"":878,""y"":464,""width"":209,""height"":43}","{}"
4.jpg,135329,"{}",4,0,"{""name"":""rect"",""x"":76,""y"":16,""width"":275,""height"":57}","{}"
4.jpg,135329,"{}",4,1,"{""name"":""rect"",""x"":697,""y"":439,""width"":95,""height"":59}","{}"
4.jpg,135329,"{}",4,2,"{""name"":""rect"",""x"":715,""y"":506,""width"":91,""height"":47}","{}"
4.jpg,135329,"{}",4,3,"{""name"":""polygon"",""all_points_x"":[882,1092,1086,874],""all_points_y"":[462,493,531,502]}","{}"
5.jpg,137515,"{}",4,0,"{""name"":""rect"",""x"":88,""y"":16,""width"":269,""height"":61}","{}"
5.jpg,137515,"{}",4,1,"{""name"":""rect"",""x"":703,""y"":453,""width"":97,""height"":50}","{}"
5.jpg,137515,"{}",4,2,"{""name"":""rect"",""x"":720,""y"":510,""width"":84,""height"":54}","{}"
5.jpg,137515,"{}",4,3,"{""name"":""rect"",""x"":878,""y"":490,""width"":208,""height"":42}","{}"
6.jpg,143424,"{}",4,0,"{""name"":""rect"",""x"":88,""y"":16,""width"":259,""height"":55}","{}"
6.jpg,143424,"{}",4,1,"{""name"":""rect"",""x"":643,""y"":458,""width"":151,""height"":45}","{}"
6.jpg,143424,"{}",4,2,"{""name"":""rect"",""x"":658,""y"":512,""width"":120,""height"":45}","{}"
6.jpg,143424,"{}",4,3,"{""name"":""rect"",""x"":880,""y"":487,""width"":215,""height"":46}","{}"
7.jpg,138599,"{}",4,0,"{""name"":""rect"",""x"":86,""y"":22,""width"":261,""height"":49}","{}"
7.jpg,138599,"{}",4,1,"{""name"":""rect"",""x"":739,""y"":460,""width"":86,""height"":43}","{}"
7.jpg,138599,"{}",4,2,"{""name"":""rect"",""x"":752,""y"":506,""width"":68,""height"":51}","{}"
7.jpg,138599,"{}",4,3,"{""name"":""rect"",""x"":886,""y"":489,""width"":211,""height"":41}","{}"
8.jpg,138271,"{}",4,0,"{""name"":""rect"",""x"":93,""y"":14,""width"":253,""height"":57}","{}"
8.jpg,138271,"{}",4,1,"{""name"":""rect"",""x"":674,""y"":450,""width"":129,""height"":47}","{}"
8.jpg,138271,"{}",4,2,"{""name"":""rect"",""x"":711,""y"":495,""width"":95,""height"":51}","{}"
8.jpg,138271,"{}",4,3,"{""name"":""rect"",""x"":864,""y"":479,""width"":213,""height"":45}","{}"
9.jpg,147706,"{}",4,0,"{""name"":""rect"",""x"":87,""y"":20,""width"":259,""height"":53}","{}"
9.jpg,147706,"{}",4,1,"{""name"":""rect"",""x"":666,""y"":445,""width"":144,""height"":58}","{}"
9.jpg,147706,"{}",4,2,"{""name"":""rect"",""x"":685,""y"":502,""width"":130,""height"":54}","{}"
9.jpg,147706,"{}",4,3,"{""name"":""polygon"",""all_points_x"":[876,1084,1090,882],""all_points_y"":[482,466,511,519]}","{}"
10.jpg,142230,"{}",4,0,"{""name"":""rect"",""x"":82,""y"":11,""width"":270,""height"":54}","{}"
10.jpg,142230,"{}",4,1,"{""name"":""rect"",""x"":670,""y"":449,""width"":103,""height"":50}","{}"
10.jpg,142230,"{}",4,2,"{""name"":""rect"",""x"":690,""y"":503,""width"":72,""height"":42}","{}"
10.jpg,142230,"{}",4,3,"{""name"":""polygon"",""all_points_x"":[899,1109,1109,897],""all_points_y"":[446,462,503,490]}","{}"
