filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
11.jpg,144551,"{}",4,0,"{""name"":""rect"",""x"":84,""y"":5,""width"":262,""height"":63}","{}"
11.jpg,144551,"{}",4,1,"{""name"":""rect"",""x"":680,""y"":446,""width"":117,""height"":41}","{}"
11.jpg,144551,"{}",4,2,"{""name"":""rect"",""x"":699,""y"":503,""width"":91,""height"":46}","{}"
11.jpg,144551,"{}",4,3,"{""name"":""rect"",""x"":884,""y"":457,""width"":200,""height"":46}","{}"
12.jpg,131109,"{}",4,0,"{""name"":""rect"",""x"":82,""y"":9,""width"":271,""height"":54}","{}"
12.jpg,131109,"{}",4,1,"{""name"":""rect"",""x"":652,""y"":444,""width"":82,""height"":53}","{}"
12.jpg,131109,"{}",4,2,"{""name"":""rect"",""x"":666,""y"":498,""width"":53,""height"":49}","{}"
12.jpg,131109,"{}",4,3,"{""name"":""rect"",""x"":876,""y"":489,""width"":208,""height"":41}","{}"
13.jpg,129276,"{}",4,0,"{""name"":""rect"",""x"":93,""y"":13,""width"":254,""height"":61}","{}"
13.jpg,129276,"{}",4,1,"{""name"":""rect"",""x"":707,""y"":457,""width"":93,""height"":46}","{}"
13.jpg,129276,"{}",4,2,"{""name"":""rect"",""x"":743,""y"":516,""width"":66,""height"":43}","{}"
13.jpg,129276,"{}",4,3,"{""name"":""rect"",""x"":860,""y"":487,""width"":213,""height"":41}","{}"
14.jpg,146210,"{}",4,0,"{""name"":""rect"",""x"":92,""y"":9,""width"":258,""height"":61}","{}"
14.jpg,146210,"{}",4,1,"{""name"":""rect"",""x"":648,""y"":457,""width"":124,""height"":50}","{}"
14.jpg,146210,"{}",4,2,"{""name"":""rect"",""x"":680,""y"":503,""width"":80,""height"":62}","{}"
14.jpg,146210,"{}",4,3,"{""name"":""rect"",""x"":872,""y"":495,""width"":216,""height"":43}","{}"
15.jpg,135251,"{}",4,0,"{""name"":""rect"",""x"":87,""y"":13,""width"":261,""height"":57}","{}"
15.jpg,135251,"{}",4,1,"{""name"":""rect"",""x"":649,""y"":449,""width"":134,""height"":53}","{}"
15.jpg,135251,"{}",4,2,"{""name"":""rect"",""x"":701,""y"":498,""width"":91,""height"":61}","{}"
15.jpg,135251,"{}",4,3,"{""name"":""rect"",""x"":884,""y"":481,""width"":195,""height"":38}","{}"
16.jpg,142421,"{}",4,0,"{""name"":""rect"",""x"":99,""y"":16,""width"":254,""height"":53}","{}"
16.jpg,142421,"{}",4,1,"{""name"":""rect"",""x"":654,""y"":450,""width"":107,""height"":47}","{}"
16.jpg,142421,"{}",4,2,"{""name"":""rect"",""x"":697,""y"":495,""width"":76,""height"":59}","{}"
16.jpg,142421,"{}",4,3,"{""name"":""polygon"",""all_points_x"":[890,1096,1102,895],""all_points_y"":[473,448,493,512]}","{}"
17.jpg,134382,"{}",4,0,"{""name"":""rect"",""x"":84,""y"":3,""width"":267,""height"":72}","{}"
17.jpg,134382,"{}",4,1,"{""name"":""rect"",""x"":681,""y"":440,""width"":92,""height"":59}","{}"
17.jpg,134382,"{}",4,2,"{""name"":""rect"",""x"":706,""y"":495,""width"":80,""height"":67}","{}"
17.jpg,134382,"{}",4,3,"{""name"":""rect"",""x"":853,""y"":469,""width"":207,""height"":47}","{}"
18.jpg,133031,"{}",4,0,"{""name"":""rect"",""x"":86,""y"":4,""width"":265,""height"":57}","{}"
18.jpg,133031,"{}",4,1,"{""name"":""rect"",""x"":732,""y"":450,""width"":83,""height"":42}","{}"
18.jpg,133031,"{}",4,2,"{""name"":""rect"",""x"":745,""y"":503,""width"":75,""height"":37}","{}"
18.jpg,133031,"{}",4,3,"{""name"":""rect"",""x"":857,""y"":458,""width"":217,""height"":43}","{}"
19.jpg,144726,"{}",4,0,"{""name"":""rect"",""x"":88,""y"":13,""width"":273,""height"":59}","{}"
19.jpg,144726,"{}",4,1,"{""name"":""rect"",""x"":647,""y"":441,""width"":167,""height"":57}","{}"
19.jpg,144726,"{}",4,2,"{""name"":""rect"",""x"":677,""y"":503,""width"":133,""height"":50}","{}"
19.jpg,144726,"{}",4,3,"{""name"":""rect"",""x"":861,""y"":495,""width"":219,""height"":47}","{}"
20.jpg,134127,"{}",4,0,"{""name"":""rect"",""x"":90,""y"":12,""width"":259,""height"":65}","{}"
20.jpg,134127,"{}",4,1,"{""name"":""rect"",""x"":744,""y"":453,""width"":86,""height"":49}","{}"
20.jpg,134127,"{}",4,2,"{""name"":""rect"",""x"":761,""y"":516,""width"":61,""height"":42}","{}"
20.jpg,134127,"{}",4,3,"{""name"":""rect"",""x"":870,""y"":489,""width"":211,""height"":43}","{}"
