filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
31.jpg,148587,"{}",4,0,"{""name"":""rect"",""x"":93,""y"":21,""width"":257,""height"":53}","{}"
31.jpg,148587,"{}",4,1,"{""name"":""rect"",""x"":716,""y"":470,""width"":78,""height"":42}","{}"
31.jpg,148587,"{}",4,2,"{""name"":""rect"",""x"":741,""y"":516,""width"":59,""height"":45}","{}"
31.jpg,148587,"{}",4,3,"{""name"":""rect"",""x"":873,""y"":493,""width"":209,""height"":42}","{}"
32.jpg,138529,"{}",4,0,"{""name"":""rect"",""x"":91,""y"":9,""width"":263,""height"":55}","{}"
32.jpg,138529,"{}",4,1,"{""name"":""rect"",""x"":708,""y"":446,""width"":84,""height"":51}","{}"
32.jpg,138529,"{}",4,2,"{""name"":""rect"",""x"":727,""y"":502,""width"":70,""height"":49}","{}"
32.jpg,138529,"{}",4,3,"{""name"":""rect"",""x"":870,""y"":482,""width"":212,""height"":49}","{}"
33.jpg,139794,"{}",4,0,"{""name"":""rect"",""x"":93,""y"":14,""width"":257,""height"":54}","{}"
33.jpg,139794,"{}",4,1,"{""name"":""rect"",""x"":710,""y"":454,""width"":84,""height"":38}","{}"
33.jpg,139794,"{}",4,2,"{""name"":""rect"",""x"":744,""y"":498,""width"":55,""height"":54}","{}"
33.jpg,139794,"{}",4,3,"{""name"":""rect"",""x"":884,""y"":482,""width"":211,""height"":41}","{}"
34.jpg,144315,"{}",4,0,"{""name"":""rect"",""x"":93,""y"":16,""width"":255,""height"":55}","{}"
34.jpg,144315,"{}",4,1,"{""name"":""rect"",""x"":677,""y"":453,""width"":122,""height"":47}","{}"
34.jpg,144315,"{}",4,2,"{""name"":""rect"",""x"":695,""y"":510,""width"":84,""height"":45}","{}"
34.jpg,144315,"{}",4,3,"{""name"":""polygon"",""all_points_x"":[869,1079,1085,870],""all_points_y"":[499,489,525,531]}","{}"
35.jpg,139009,"{}",4,0,"{""name"":""rect"",""x"":93,""y"":25,""width"":262,""height"":47}","{}"
35.jpg,139009,"{}",4,1,"{""name"":""rect"",""x"":603,""y"":462,""width"":141,""height"":45}","{}"
35.jpg,139009,"{}",4,2,"{""name"":""rect"",""x"":616,""y"":515,""width"":111,""height"":40}","{}"
35.jpg,139009,"{}",4,3,"{""name"":""rect"",""x"":870,""y"":493,""width"":216,""height"":43}","{}"
36.jpg,137426,"{}",4,0,"{""name"":""rect"",""x"":93,""y"":12,""width"":258,""height"":57}","{}"
36.jpg,137426,"{}",4,1,"{""name"":""rect"",""x"":712,""y"":442,""width"":75,""height"":61}","{}"
36.jpg,137426,"{}",4,2,"{""name"":""rect"",""x"":723,""y"":502,""width"":54,""height"":45}","{}"
36.jpg,137426,"{}",4,3,"{""name"":""rect"",""x"":864,""y"":464,""width"":216,""height"":49}","{}"
37.jpg,135494,"{}",4,0,"{""name"":""rect"",""x"":93,""y"":16,""width"":262,""height"":53}","{}"
37.jpg,135494,"{}",4,1,"{""name"":""rect"",""x"":673,""y"":448,""width"":126,""height"":50}","{}"
37.jpg,135494,"{}",4,2,"{""name"":""rect"",""x"":720,""y"":508,""width"":76,""height"":43}","{}"
37.jpg,135494,"{}",4,3,"{""name"":""rect"",""x"":865,""y"":460,""width"":215,""height"":40}","{}"
38.jpg,136792,"{}",4,0,"{""name"":""rect"",""x"":84,""y"":7,""width"":271,""height"":65}","{}"
38.jpg,136792,"{}",4,1,"{""name"":""rect"",""x"":708,""y"":446,""width"":101,""height"":46}","{}"
38.jpg,136792,"{}",4,2,"{""name"":""rect"",""x"":733,""y"":506,""width"":79,""height"":42}","{}"
38.jpg,136792,"{}",4,3,"{""name"":""rect"",""x"":886,""y"":470,""width"":219,""height"":43}","{}"
39.jpg,135678,"{}",4,0,"{""name"":""rect"",""x"":87,""y"":16,""width"":266,""height"":55}","{}"
39.jpg,135678,"{}",4,1,"{""name"":""rect"",""x"":723,""y"":450,""width"":88,""height"":49}","{}"
39.jpg,135678,"{}",4,2,"{""name"":""rect"",""x"":751,""y"":503,""width"":74,""height"":45}","{}"
39.jpg,135678,"{}",4,3,"{""name"":""rect"",""x"":865,""y"":475,""width"":212,""height"":45}","{}"
40.jpg,144870,"{}",4,0,"{""name"":""rect"",""x"":96,""y"":14,""width"":257,""height"":54}","{}"
40.jpg,144870,"{}",4,1,"{""name"":""rect"",""x"":639,""y"":442,""width"":149,""height"":61}","{}"
40.jpg,144870,"{}",4,2,"{""name"":""rect"",""x"":673,""y"":498,""width"":120,""height"":63}","{}"
40.jpg,144870,"{}",4,3,"{""name"":""rect"",""x"":873,""y"":469,""width"":215,""height"":43}","{}"
